Fluo 0.1 target,,Fluo 0.1 target,,Fluo 0.08 target,,Fluo 0.06 target,,Fluo 0.04 target,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
683.9862671,0.001944057876,683.9862671,0.001822852995,683.9862671,-0.0007459620829,683.9862671,-0.000592332799,683.9862671,-0.0002461575496,
682.9745483,0.001845625113,682.9745483,0.002072553383,682.9745483,-0.0009441215079,682.9745483,-0.0004553025356,682.9745483,-0.0001416249288,
681.9625244,0.002164013451,681.9625244,0.002431246452,681.9625244,-0.0004274775274,681.9625244,-0.0004440796329,681.9625244,0.0003450416843,
680.9501343,0.002222447656,680.9501343,0.002233115491,680.9501343,-0.0003066921781,680.9501343,-0.0003572864516,680.9501343,-3.582470163E-5,
679.9375,0.002355085686,679.9375,0.002259421861,679.9375,-0.0004379767634,679.9375,-0.0001447302202,679.9375,5.816966586E-5,
679.0692139,0.001553655835,679.0692139,0.00194192573,679.0692139,-0.0009659212665,679.0692139,-0.0005740300985,679.0692139,-7.21123215E-5,
678.0559082,0.002227053046,678.0559082,0.002169164363,678.0559082,-0.0004346666683,678.0559082,-0.0001639307739,678.0559082,0.000314291683,
677.0423584,0.001983660972,677.0423584,0.002282320987,677.0423584,-0.0006838862319,677.0423584,-0.0005101715215,677.0423584,0.000335896766,
676.0284424,0.002053072443,676.0284424,0.00250481721,676.0284424,-0.000500759983,676.0284424,-0.0003070025996,676.0284424,0.0001986684656,
675.0142212,0.002352977404,675.0142212,0.002072891453,675.0142212,-0.0004677145917,675.0142212,-0.0005489014438,675.0142212,0.0003202239168,
673.9996338,0.002056869678,673.9996338,0.002096769167,673.9996338,-0.0006328130839,673.9996338,-0.0007034764858,673.9996338,0.0003948628146,
672.9848022,0.001727774274,672.9848022,0.001880617463,672.9848022,-0.0008883256814,672.9848022,-0.000633433403,672.9848022,4.768457075E-5,
671.9696045,0.002163284924,671.9696045,0.002160397358,671.9696045,-0.0004923825036,671.9696045,-0.0005973994848,671.9696045,0.0002757472103,
670.9541016,0.00200987421,,,670.9541016,-0.0005467814626,670.9541016,-0.0003022946476,670.9541016,0.0002187138452,
669.9382935,0.002009328222,,,669.9382935,-0.0008065304137,669.9382935,-0.0007385713398,669.9382935,0.0001552141184,
669.0673218,0.002371534705,,,669.0673218,-0.0003807192261,669.0673218,-3.815424134E-5,669.0673218,0.0004954033648,
668.0509033,0.002029405208,,,668.0509033,-0.000883675646,668.0509033,-0.0005221166648,668.0509033,0.0002133786766,
667.0341797,0.002047766699,,,667.0341797,-0.000804411713,667.0341797,-0.0002446052677,667.0341797,-0.0002238041779,
666.0171509,0.002351806266,,,666.0171509,-0.0002833588806,666.0171509,-0.00042644309,666.0171509,0.000438729825,
664.9998169,0.002078015357,,,664.9998169,-0.0004871594429,664.9998169,-0.0002283577342,664.9998169,0.0002801506198,
663.9821167,0.002414144343,,,663.9821167,-0.0007475125603,663.9821167,-0.0003779777035,663.9821167,0.0001410237601,
662.9641724,0.002193385735,,,662.9641724,-0.0003791156923,662.9641724,-0.0006165283266,662.9641724,0.0002157613635,
661.9458618,0.002419454511,,,661.9458618,-0.0005610522931,661.9458618,-0.0003661320661,661.9458618,0.0001932040614,
660.9272461,0.002050601644,,,660.9272461,-0.0006549386308,660.9272461,-0.0004422177444,660.9272461,0.0001042812,
660.0539551,0.002205769997,,,660.0539551,-0.0005964688607,660.0539551,-0.0005358195049,660.0539551,-0.0001532696624,
659.034729,0.002547413576,,,659.034729,-0.0003174012818,659.034729,-0.000284911046,659.034729,0.0002596880076,
658.0152588,0.002345924266,,,658.0152588,-0.0005068620085,658.0152588,-0.0005238230806,658.0152588,0.0002469964675,
656.9954224,0.002109644935,,,656.9954224,-0.0001610843901,656.9954224,-0.000571031298,656.9954224,0.0003610262938,
655.9753418,0.00232192874,,,655.9753418,-0.0004670422932,655.9753418,-0.0003969093377,655.9753418,0.0002084061562,
654.954895,0.002292001387,,,654.954895,-0.0004315634433,654.954895,-0.0004134608898,654.954895,0.0003137736057,
653.9341431,0.002167889616,,,653.9341431,-0.0005440409877,653.9341431,-0.0002183708857,653.9341431,0.0003593941219,
653.059021,0.002061993582,,,653.059021,-0.0005604318576,653.059021,-0.0008660053136,653.059021,-7.475224265E-5,
652.0377197,0.001988783944,,,652.0377197,-0.000734591682,652.0377197,-0.0003362838179,652.0377197,4.118652942E-5,
651.0161133,0.002212404506,,,651.0161133,-0.0003705806739,651.0161133,-0.0002978970879,651.0161133,0.0002760839416,
649.9941406,0.002175460337,,,649.9941406,-0.0005839570658,649.9941406,-0.0003724428825,649.9941406,0.0002002482361,
648.9719238,0.002456211252,,,648.9719238,-0.0001217505269,648.9719238,-0.0001470591669,648.9719238,0.0004353094555,
647.9494019,0.002408391563,,,647.9494019,-0.0004010472912,647.9494019,-0.0006078946171,647.9494019,0.0003135922598,
647.0726929,0.001999133965,,,647.0726929,-0.0005634307745,647.0726929,-0.0005211341777,647.0726929,6.833949556E-6,
646.0496216,0.002528510289,,,646.0496216,-0.0004553025356,646.0496216,-0.0003096410946,646.0496216,0.0002069299517,
645.0261841,0.002722842619,,,645.0261841,-0.0002792715677,645.0261841,7.506937436E-7,645.0261841,0.000384006853,
644.0025024,0.00254452345,,,644.0025024,-0.0004119092191,644.0025024,-7.294053648E-5,644.0025024,0.000295822043,
642.9784546,0.002362763509,,,642.9784546,-0.0003800984996,642.9784546,-0.0001928594138,642.9784546,0.0001954312611,
641.9541626,0.002784947399,,,641.9541626,-0.0001548222644,641.9541626,-4.514278407E-5,641.9541626,0.0002351600124,
640.9295044,0.002445954364,,,640.9295044,-0.00029117128,640.9295044,-0.0005865421845,640.9295044,0.0001611441548,
640.0510254,0.002718310338,,,640.0510254,-0.000178731716,640.0510254,-0.0001467486436,640.0510254,0.000417896983,
639.0258179,0.002528119599,,,639.0258179,-0.0005328204134,639.0258179,-0.0001421424677,639.0258179,0.0002179109724,
638.0003662,0.002381191123,,,638.0003662,-0.0005598114221,638.0003662,-0.0002664401836,638.0003662,8.92639946E-5,
636.9745483,0.002559651854,,,636.9745483,-0.0003008977801,636.9745483,-0.0004103575193,636.9745483,0.0001493100426,
635.9484863,0.00262441556,,,635.9484863,-0.0001390371617,635.9484863,-0.0002421216195,635.9484863,0.0003400417336,
635.0687256,0.002485290868,,,635.0687256,-0.0005337511539,635.0687256,-0.0001274438109,635.0687256,0.0002887762967,
