Fluo 0.1 target,,Fluo 0.1 target,,Fluo 0.08 target,,Fluo 0.06 target,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
647.9494019,0.002408391563,,,647.9494019,-0.0004010472912,647.9494019,-0.0006078946171,
647.0726929,0.001999133965,,,647.0726929,-0.0005634307745,647.0726929,-0.0005211341777,
646.0496216,0.002528510289,,,646.0496216,-0.0004553025356,646.0496216,-0.0003096410946,
645.0261841,0.002722842619,,,645.0261841,-0.0002792715677,645.0261841,7.506937436E-7,
644.0025024,0.00254452345,,,644.0025024,-0.0004119092191,644.0025024,-7.294053648E-5,
642.9784546,0.002362763509,,,642.9784546,-0.0003800984996,642.9784546,-0.0001928594138,
641.9541626,0.002784947399,,,641.9541626,-0.0001548222644,641.9541626,-4.514278407E-5,
640.9295044,0.002445954364,,,640.9295044,-0.00029117128,640.9295044,-0.0005865421845,
640.0510254,0.002718310338,,,640.0510254,-0.000178731716,640.0510254,-0.0001467486436,
639.0258179,0.002528119599,,,639.0258179,-0.0005328204134,639.0258179,-0.0001421424677,
638.0003662,0.002381191123,,,638.0003662,-0.0005598114221,638.0003662,-0.0002664401836,
636.9745483,0.002559651854,,,636.9745483,-0.0003008977801,636.9745483,-0.0004103575193,
635.9484863,0.00262441556,,,635.9484863,-0.0001390371617,635.9484863,-0.0002421216195,
635.0687256,0.002485290868,,,635.0687256,-0.0005337511539,635.0687256,-0.0001274438109,
634.0421143,0.002901600208,,,634.0421143,-8.795161557E-5,634.0421143,-0.0001788869704,
633.0151367,0.00320863747,,,633.0151367,0.0002139484423,633.0151367,0.0001762156462,
631.987915,0.002575379563,,,631.987915,-8.008380246E-5,631.987915,-0.0001940496295,
630.9603882,0.002834137296,,,630.9603882,-6.983472849E-5,630.9603882,-0.0003117622109,
629.9325562,0.00271703396,,,629.9325562,-0.0001382608316,629.9325562,-9.695801418E-5,
629.0512695,0.002698461758,,,629.0512695,-0.0003939610033,629.0512695,-0.0001533731556,
628.0228882,0.002701118588,,,628.0228882,-0.0002861527319,628.0228882,-0.0003236610501,
626.9942017,0.002871606732,,,626.9942017,-6.67852828E-6,626.9942017,2.707756721E-5,
625.96521,0.002604597481,,,625.96521,-4.436628296E-5,625.96521,-0.0001697270054,
624.9359741,0.002929927781,,,624.9359741,0.0001148971278,624.9359741,3.893424218E-5,
624.0534668,0.002764991717,,,624.0534668,0.0001716578845,624.0534668,-9.038439748E-5,
623.0236816,0.002974416362,,,623.0236816,0.0002160203439,623.0236816,8.789175627E-5,
621.9935303,0.003112055361,,,621.9935303,0.0001204382206,621.9935303,3.349773397E-5,
620.9631348,0.002793675056,,,620.9631348,-8.749369044E-6,620.9631348,-0.0001944118703,
619.9324341,0.002903736895,,,619.9324341,-7.801329775E-5,619.9324341,-7.563221152E-5,
619.0487061,0.003026416991,,,619.0487061,8.877205983E-5,619.0487061,0.000153297864,
618.0174561,0.002944287611,,,618.0174561,0.000185124125,618.0174561,-8.904681636E-6,
616.9859009,0.003100245027,,,616.9859009,0.0003452748351,616.9859009,0.0001252025831,
615.9541016,0.003044951009,,,615.9541016,-4.193324276E-5,615.9541016,-4.747227285E-5,
615.069458,0.003153016791,,,615.069458,0.0003002774611,615.069458,3.598298645E-5,
614.0370483,0.002958022524,,,614.0370483,0.000119169461,614.0370483,0.0001408684038,
613.0043945,0.003246060805,,,613.0043945,0.0002741412609,613.0043945,0.0001791160612,
611.9714355,0.003299841424,,,611.9714355,0.0001996266947,611.9714355,7.217607345E-5,
610.9382324,0.003222537227,,,610.9382324,0.0001948097051,610.9382324,-3.375398956E-5,
610.0523682,0.003392630024,,,610.0523682,0.0002551811631,610.0523682,0.0004344543559,
