0.1M NaOH1,,Fluo base,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
546.9337158,0.01563644223,546.9337158,2.159892082,
546.0334473,0.01560754143,546.0334473,2.314336777,
544.9829102,0.01544485521,544.9829102,2.510226727,
543.9321289,0.0155708883,543.9321289,2.70724988,
543.03125,0.01547661517,543.03125,2.892697096,
541.9800415,0.01601151377,541.9800415,3.112209082,
540.9285278,0.01637435891,540.9285278,3.475417376,
540.0269775,0.01585877128,540.0269775,3.552339554,
538.9750366,0.01672897674,538.9750366,4.584605217,
538.0731201,0.01690438949,538.0731201,4.317783356,
537.0206299,0.01750033908,537.0206299,10,
535.9679565,0.0172770042,535.9679565,4.095899105,
535.0654297,0.01812091097,535.0654297,4.711338997,
534.012207,0.01896946132,534.012207,10,
532.9588013,0.01954926923,532.9588013,10,
532.0556641,0.0199215319,532.0556641,4.327354908,
531.00177,0.02024293505,531.00177,10,
529.9476318,0.02147929929,529.9476318,4.692555904,
529.0438232,0.02182096429,529.0438232,10,
527.9892578,0.02248768136,527.9892578,10,
526.9343872,0.02292468771,526.9343872,10,
526.0300293,0.02372523956,526.0300293,10,
524.9746704,0.02363543957,524.9746704,4.179223537,
524.0699463,0.02411483787,524.0699463,4.61981678,
523.0141602,0.02479235083,523.0141602,10,
521.9581299,0.02524103783,521.9581299,4.093558788,
521.0527344,0.02581643127,521.0527344,10,
519.9962158,0.02665668726,519.9962158,10,
518.9395142,0.02673395537,518.9395142,10,
518.0335693,0.02757921629,518.0335693,10,
516.9763794,0.02796436474,516.9763794,3.878859282,
516.0700073,0.02827865444,516.0700073,3.874237776,
515.0123291,0.02871306613,515.0123291,10,
513.9544678,0.02904212289,513.9544678,4.325298309,
513.0475464,0.0293353945,513.0475464,3.99425292,
511.9891663,0.02970735915,511.9891663,4.95648241,
510.930603,0.02998155542,510.930603,3.748237371,
510.0230713,0.03021712601,510.0230713,4.000964642,
508.9640503,0.03062048182,508.9640503,10,
508.0561218,0.03065934405,508.0561218,3.832645655,
506.9966431,0.03075716645,506.9966431,10,
505.9369202,0.03097934276,505.9369202,4.065489292,
505.0284119,0.03094918095,505.0284119,3.555758476,
503.9682617,0.03121731989,503.9682617,10,
503.0593872,0.03125322983,503.0593872,3.697496891,
501.9987793,0.03134648502,501.9987793,3.650862932,
500.9379578,0.03125136718,500.9379578,10,
500.0284729,0.0311634168,500.0284729,4.107886314,
498.9672241,0.03110187501,498.9672241,10,
498.057373,0.03096324764,498.057373,10,
496.9956665,0.03095968813,496.9956665,10,
495.9337158,0.03104631789,495.9337158,3.758782864,
495.0232849,0.03077469952,495.0232849,5.461092949,
493.960907,0.03109275363,493.960907,4.93432188,
493.0501404,0.03049061634,493.0501404,10,
491.9873047,0.03082610853,491.9873047,10,
490.9242859,0.03090556711,490.9242859,10,
490.0129089,0.03045265935,490.0129089,10,
488.9494324,0.02975162677,488.9494324,10,
488.0377197,0.02977530286,488.0377197,10,
486.9738159,0.02994935401,486.9738159,10,
486.0617371,0.02954199351,486.0617371,10,
484.997406,0.02984450385,484.997406,5.007779598,
483.9328613,0.03048733994,483.9328613,4.679972649,
483.0202026,0.02973089181,483.0202026,10,
481.9552002,0.02966034971,481.9552002,4.599145889,
481.0422058,0.02884583175,481.0422058,10,
479.9768066,0.02958793566,479.9768066,4.397363663,
479.0634155,0.02892708778,479.0634155,3.962814808,
477.9975891,0.02927233838,477.9975891,10,
476.9315491,0.03030502237,476.9315491,4.228773594,
476.0176086,0.03065303899,476.0176086,10,
474.9511719,0.03036567569,474.9511719,10,
474.0368652,0.03062437102,474.0368652,4.441002369,
472.9700012,0.03193730116,472.9700012,4.767875195,
472.0553589,0.03156164289,472.0553589,10,
470.9880371,0.03292864934,470.9880371,4.43576479,
470.0730591,0.03332575783,470.0730591,10,
469.0053406,0.03399065137,469.0053406,10,
467.9374084,0.03369564563,467.9374084,4.279916763,
467.0218811,0.03495912254,467.0218811,10,
465.9535522,0.03564897552,465.9535522,4.280817509,
465.0376587,0.03544931114,465.0376587,5.082464695,
463.9689026,0.03581170738,463.9689026,10,
463.0526733,0.03703485057,463.0526733,10,
461.9835205,0.03747275472,461.9835205,4.581703186,
461.066925,0.03757841885,461.066925,10,
459.9973755,0.03848325461,459.9973755,10,
458.9276123,0.0390804112,458.9276123,10,
458.0104675,0.03928498179,458.0104675,10,
456.9403076,0.03951524943,456.9403076,10,
456.0228577,0.03979307413,456.0228577,10,
454.9522705,0.04004433379,454.9522705,10,
454.0344543,0.04010814801,454.0344543,10,
452.963501,0.04055266082,452.963501,10,
452.0453491,0.04071820527,452.0453491,4.278651714,
450.9739685,0.04088657722,450.9739685,10,
450.055481,0.04110204428,450.055481,10,
448.9837341,0.04115864635,448.9837341,10,
448.0649109,0.04129578546,448.0649109,5.437088966,
446.9927368,0.0415773131,446.9927368,10,
446.0735779,0.04169717059,446.0735779,10,
445.0010376,0.04193129018,445.0010376,10,
443.9282837,0.04194135219,443.9282837,10,
443.008606,0.0420657061,443.008606,4.427244186,
441.9354553,0.04190662876,441.9354553,10,
441.0154419,0.04217023775,441.0154419,4.404520512,
439.941925,0.04241705686,439.941925,10,
439.0215759,0.04242630303,439.0215759,10,
437.9476624,0.04248130694,437.9476624,10,
437.0270081,0.04260190204,437.0270081,4.26558733,
435.9526978,0.04224877805,435.9526978,5.020998955,
435.0317078,0.0422960259,435.0317078,10,
433.9570313,0.04213227332,433.9570313,10,
433.0357056,0.04224155843,433.0357056,4.366398811,
431.9606323,0.04214513674,431.9606323,10,
431.0390015,0.0421050638,431.0390015,4.725497246,
429.9635315,0.04199834913,429.9635315,4.198505878,
429.0415649,0.04204052314,429.0415649,10,
427.9657593,0.0418465957,427.9657593,10,
427.043457,0.04182550311,427.043457,4.729726791,
425.9672852,0.04169007763,425.9672852,10,
425.0446777,0.04150242731,425.0446777,10,
423.9681091,0.0416143164,423.9681091,5.167775154,
423.045166,0.04151376337,423.045166,4.629223347,
421.9682312,0.04128095135,421.9682312,10,
421.0449829,0.04173242301,421.0449829,4.924380302,
419.9676819,0.04169013351,419.9676819,10,
419.0440979,0.04166420549,419.0440979,10,
417.9664307,0.04165577143,417.9664307,10,
417.042572,0.04170215875,417.042572,10,
415.9645081,0.04061780125,415.9645081,10,
415.0403137,0.04129228368,415.0403137,10,
413.9619141,0.04033016413,413.9619141,4.221493721,
413.0374146,0.04131004587,413.0374146,10,
411.9586487,0.04089155421,411.9586487,10,
411.033844,0.03982294723,411.033844,10,
409.9547119,0.04089516401,409.9547119,10,
409.0296021,0.04004333913,409.0296021,4.25993824,
407.9501038,0.03963286802,407.9501038,10,
407.0246887,0.04033217952,407.0246887,10,
405.9448242,0.0400345102,405.9448242,10,
405.019104,0.04015894234,405.019104,10,
403.9389038,0.03901830316,403.9389038,10,
403.0128784,0.03928180784,403.0128784,10,
401.932312,0.03985619918,401.932312,3.95716548,
401.0059814,0.03894431144,401.0059814,4.311850548,
399.9250793,0.0386303328,399.9250793,4.685112953,
398.9984436,0.03967305645,398.9984436,4.752202034,
398.0716553,0.03872770071,398.0716553,10,
396.9902344,0.03943955898,396.9902344,10,
396.0631714,0.03914026171,396.0631714,5.011183262,
394.9814148,0.03936560825,394.9814148,10,
394.0540161,0.03977590799,394.0540161,10,
392.9719238,0.0392174609,392.9719238,10,
392.0442505,0.03959866986,392.0442505,10,
390.961792,0.04002071545,390.961792,4.988534451,
390.033844,0.03899728879,390.033844,4.721118927,
388.9510498,0.03997161239,388.9510498,5.256200314,
388.0227966,0.04026841372,388.0227966,10,
386.9396362,0.04082463309,386.9396362,10,
386.0111084,0.04007337242,386.0111084,10,
384.9276428,0.04116752371,384.9276428,4.419011116,
383.9987793,0.04109333828,383.9987793,10,
383.0698242,0.04128687456,383.0698242,4.365950584,
381.9858704,0.04151923209,381.9858704,10,
381.0566101,0.04208609834,381.0566101,4.539421082,
379.97229,0.04313084483,379.97229,10,
379.0427551,0.04327810183,379.0427551,10,
377.9581299,0.04399462789,377.9581299,4.378062725,
377.0282898,0.0439402312,377.0282898,10,
375.9433289,0.04478863627,375.9433289,10,
375.0132141,0.04537961632,375.0132141,10,
373.9279175,0.04611130431,373.9279175,4.286323547,
372.9975281,0.04654189199,372.9975281,4.116758823,
372.0670166,0.04702889547,372.0670166,10,
370.9812622,0.04811456427,370.9812622,4.070851803,
370.0504456,0.04872135445,370.0504456,4.919050217,
368.9643555,0.04924215004,368.9643555,10,
368.0332642,0.04964831099,368.0332642,10,
366.9468689,0.05071600154,366.9468689,4.160880566,
366.0155029,0.0510606207,366.0155029,3.912955999,
364.928772,0.05176147446,364.928772,4.03462553,
363.9971313,0.05276649818,363.9971313,10,
363.0653992,0.05240571499,363.0653992,10,
361.9781799,0.05376805365,361.9781799,10,
361.0461426,0.05461123586,361.0461426,4.686453819,
359.9586487,0.05538430437,359.9586487,10,
359.0263367,0.0552961491,359.0263367,10,
357.9385071,0.05661303923,357.9385071,10,
357.0059204,0.05705874786,357.0059204,10,
356.0732422,0.0573791638,356.0732422,10,
354.9849548,0.05793266371,354.9849548,10,
354.052002,0.05797629803,354.052002,4.178410053,
352.9633789,0.05828845128,352.9633789,4.335101604,
352.0301514,0.05882559344,352.0301514,5.413928032,
350.9412537,0.059422791,350.9412537,3.864842892,
350.0077515,0.05985321105,350.0077515,4.134393692,

0.1M NaOH1,
0.1M NaOH1
Collection Time: 2026-01-27 12:09:34
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3.00
Start (nm)                        700.0
Stop (nm)                         350.0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.00
UV-Vis Data Interval (nm)         1.00
UV-Vis Ave. Time (sec)            0.1000
Beam Mode                         Dual Beam
Baseline Correction               Off
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 2026-01-27 12:04:29
Method Modifications:
UVVIS SAT Changed: 2026-01-27 12:06:18, Old:0.0125, New:0.1000
Common SAT Changed: 2026-01-27 12:06:18, Old:0.0125, New:0.1000
X Start nm Changed: 2026-01-27 12:06:26, Old:  800.0, New:  700.0
X Stop nm Changed: 2026-01-27 12:06:26, Old:  200.0, New:  350.0
Common Interval nm Changed: 2026-01-27 12:06:26, Old:     5.00, New:     1.00
Baseline Correction Changed: 2026-01-27 12:07:43, Old:0, New:1
Baseline Correction Changed: 2026-01-27 12:09:26, Old:1, New:0
End Method Modifications
<Current Wavelength> , 350.0

Fluo base,
Fluo base
Collection Time: 2026-01-27 12:12:20
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3.00
Start (nm)                        700.0
Stop (nm)                         350.0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.00
UV-Vis Data Interval (nm)         1.00
UV-Vis Ave. Time (sec)            0.1000
Beam Mode                         Dual Beam
Baseline Correction               Off
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 2026-01-27 12:04:29
Method Modifications:
UVVIS SAT Changed: 2026-01-27 12:06:18, Old:0.0125, New:0.1000
Common SAT Changed: 2026-01-27 12:06:18, Old:0.0125, New:0.1000
X Start nm Changed: 2026-01-27 12:06:26, Old:  800.0, New:  700.0
X Stop nm Changed: 2026-01-27 12:06:26, Old:  200.0, New:  350.0
Common Interval nm Changed: 2026-01-27 12:06:26, Old:     5.00, New:     1.00
Baseline Correction Changed: 2026-01-27 12:07:43, Old:0, New:1
Baseline Correction Changed: 2026-01-27 12:09:26, Old:1, New:0
End Method Modifications
<Current Wavelength> , 350.0

