#MultiHarp 150  Histogram Data			2023-07-14 14:58:16
#channels per curve
65536
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/bin
0.0400	0.0400	0.0400	0.0400	
#counts
22	29	0	0	
34	38	0	0	
24	22	0	0	
20	25	0	0	
33	23	0	0	
13	23	0	0	
22	27	0	0	
30	22	0	0	
15	24	0	0	
27	25	0	0	
25	25	0	0	
22	26	0	0	
24	28	0	0	
24	26	0	0	
24	24	0	0	
17	27	0	0	
24	30	0	0	
24	30	0	0	
26	17	0	0	
19	15	0	0	
22	28	0	0	
32	24	0	0	
25	17	0	0	
21	27	0	0	
22	24	0	0	
21	33	0	0	
31	18	0	0	
27	27	0	0	
18	38	0	0	
28	27	0	0	
30	26	0	0	
31	32	0	0	
24	25	0	0	
23	17	0	0	
30	26	0	0	
27	23	0	0	
22	29	0	0	
25	19	0	0	
22	23	0	0	
20	31	0	0	
25	22	0	0	
20	24	0	0	
19	18	0	0	
29	23	0	0	
30	23	0	0	
18	30	0	0	
27	24	0	0	
23	27	0	0	
25	34	0	0	
28	36	0	0	
15	23	0	0	
20	33	0	0	
23	27	0	0	
33	32	0	0	
19	28	0	0	
23	25	0	0	
27	20	0	0	
26	26	0	0	
30	30	0	0	
23	31	0	0	
26	31	0	0	
21	36	0	0	
25	17	0	0	
24	26	0	0	
16	18	0	0	
18	34	0	0	
23	28	0	0	
16	25	0	0	
23	25	0	0	
16	18	0	0	
30	24	0	0	
25	22	0	0	
21	26	0	0	
22	21	0	0	
25	31	0	0	
23	17	0	0	
14	15	0	0	
16	23	0	0	
22	18	0	0	
25	19	0	0	
24	27	0	0	
22	18	0	0	
23	23	0	0	
30	24	0	0	
19	24	0	0	
26	24	0	0	
20	22	0	0	
25	19	0	0	
18	20	0	0	
23	18	0	0	
25	29	0	0	
32	32	0	0	
26	26	0	0	
22	23	0	0	
17	18	0	0	
20	26	0	0	
22	22	0	0	
18	13	0	0	
23	28	0	0	
22	20	0	0	
26	22	0	0	
28	20	0	0	
23	16	0	0	
16	27	0	0	
23	30	0	0	
31	26	0	0	
24	26	0	0	
26	23	0	0	
17	19	0	0	
24	16	0	0	
28	17	0	0	
25	19	0	0	
23	22	0	0	
20	19	0	0	
18	27	0	0	
18	30	0	0	
26	27	0	0	
27	26	0	0	
23	16	0	0	
25	21	0	0	
18	25	0	0	
17	25	0	0	
20	21	0	0	
20	24	0	0	
28	27	0	0	
16	15	0	0	
22	19	0	0	
16	21	0	0	
18	28	0	0	
24	19	0	0	
24	18	0	0	
24	21	0	0	
32	30	0	0	
24	20	0	0	
29	20	0	0	
23	28	0	0	
15	29	0	0	
28	17	0	0	
26	13	0	0	
25	31	0	0	
25	25	0	0	
117	22	0	0	
767	28	0	0	
3201	65	0	0	
7005	558	0	0	
9624	2567	0	0	
10218	6451	0	0	
10037	9549	0	0	
9459	10406	0	0	
9042	10175	0	0	
9022	9811	0	0	
8730	9410	0	0	
8560	9207	0	0	
8432	9019	0	0	
8064	8902	0	0	
7904	8513	0	0	
7414	8018	0	0	
7307	8020	0	0	
6762	7409	0	0	
6574	7324	0	0	
6439	6986	0	0	
6087	6610	0	0	
6022	6512	0	0	
5721	6242	0	0	
5647	6124	0	0	
5464	5906	0	0	
5253	5708	0	0	
5064	5299	0	0	
4804	5238	0	0	
4760	5081	0	0	
4597	4864	0	0	
4517	4851	0	0	
4234	4573	0	0	
4179	4475	0	0	
4056	4402	0	0	
3953	4305	0	0	
3896	4005	0	0	
3724	4005	0	0	
3671	3902	0	0	
3520	3819	0	0	
3584	3687	0	0	
3493	3607	0	0	
3432	3505	0	0	
3300	3435	0	0	
3179	3223	0	0	
3191	3352	0	0	
3047	3263	0	0	
3104	3112	0	0	
2961	3095	0	0	
2854	2928	0	0	
2778	2857	0	0	
2797	2823	0	0	
2733	2749	0	0	
2683	2748	0	0	
2602	2583	0	0	
2559	2688	0	0	
2385	2609	0	0	
2427	2489	0	0	
2463	2490	0	0	
2422	2426	0	0	
2279	2406	0	0	
2214	2278	0	0	
2230	2164	0	0	
2173	2242	0	0	
2168	2204	0	0	
2194	2173	0	0	
2102	2107	0	0	
2072	2208	0	0	
2023	2009	0	0	
1967	1995	0	0	
1957	2003	0	0	
1861	1909	0	0	
1892	1960	0	0	
1874	1903	0	0	
1823	1906	0	0	
1840	1789	0	0	
1748	1808	0	0	
1757	1845	0	0	
1745	1637	0	0	
1746	1667	0	0	
1717	1674	0	0	
1692	1650	0	0	
1604	1693	0	0	
1590	1644	0	0	
1543	1624	0	0	
1570	1608	0	0	
1566	1563	0	0	
1514	1498	0	0	
1499	1535	0	0	
1514	1438	0	0	
1410	1536	0	0	
1454	1474	0	0	
1411	1415	0	0	
1444	1473	0	0	
1411	1444	0	0	
1300	1407	0	0	
1269	1316	0	0	
1316	1445	0	0	
1317	1313	0	0	
1283	1345	0	0	
1304	1298	0	0	
1242	1257	0	0	
1292	1233	0	0	
1305	1241	0	0	
